iter	RMSE
0	121376.83
1	118781.121
2	116245.8202
3	113845.4418
4	111414.6626
5	109118.7147
6	106893.4944
7	104767.2916
8	102719.8075
9	100791.7726
10	98935.60954
11	97120.43186
12	95388.17599
13	93730.60354
14	92145.46748
15	90601.91601
16	89109.62775
17	87672.56924
18	86307.04686
19	85004.7912
20	83755.52843
21	82566.34579
22	81415.24564
23	80298.46291
24	79247.74013
25	78263.24252
26	77286.33747
27	76373.12683
28	75504.84623
29	74693.95579
30	73913.85648
31	73160.37318
32	72439.9709
33	71737.2349
34	71071.58904
35	70464.93124
36	69819.68884
37	69220.662
38	68650.92565
39	68131.75541
40	67621.69938
41	67122.95106
42	66688.43946
43	66247.41788
44	65842.3391
45	65426.16372
46	65041.74693
47	64672.54745
48	64354.41856
49	64031.23356
50	63698.25972
51	63363.93625
52	63070.73952
53	62789.63304
54	62509.27046
55	62269.96798
56	62051.81024
57	61826.47316
58	61613.07519
59	61419.4388
60	61218.92553
61	61033.92939
62	60839.18978
63	60659.64257
64	60506.41739
65	60336.25635
66	60190.16594
67	60047.89711
68	59907.4461
69	59779.59728
70	59650.68658
71	59537.13358
72	59421.14522
73	59334.13259
74	59249.21856
75	59132.01482
76	59048.39404
77	58940.17817
78	58853.81516
79	58778.61569
80	58689.41806
81	58596.77287
82	58522.33524
83	58470.13487
84	58387.17478
85	58336.57809
86	58287.63637
87	58207.48862
88	58135.86337
89	58064.3665
90	58029.83655
91	57968.07114
92	57918.2679
93	57865.89926
94	57804.82215
95	57741.31173
96	57688.25177
97	57627.48912
98	57579.03899
99	57533.89176
100	57501.0927
101	57448.89518
102	57415.28262
103	57364.47987
104	57313.49015
105	57268.53245
106	57245.48938
107	57217.86184
108	57200.00326
109	57162.99696
110	57127.92513
111	57077.70482
112	57050.76649
113	57014.2563
114	56987.66308
115	56956.82909
116	56911.92471
117	56892.9787
118	56871.42988
119	56838.77774
120	56805.40128
121	56778.25054
122	56744.28614
123	56721.18774
124	56698.64258
125	56662.91663
126	56650.86981
127	56619.01747
128	56605.32704
129	56591.33966
130	56568.63313
131	56557.50429
132	56539.14067
133	56513.01447
134	56496.65245
135	56477.73168
136	56461.13988
137	56427.6207
138	56408.53485
139	56381.35475
140	56355.2148
141	56341.45083
142	56314.02521
143	56289.93233
144	56273.04113
145	56249.01115
146	56236.23508
147	56229.9141
148	56218.94748
149	56188.01549
150	56172.76382
151	56149.56434
152	56117.59478
153	56101.82901
154	56080.92478
155	56060.06082
156	56032.55838
157	56022.79965
158	55990.17097
159	55977.42168
160	55955.55571
161	55941.35326
162	55931.76735
163	55907.11674
164	55881.11311
165	55866.00734
166	55851.38041
167	55827.58528
168	55819.16338
169	55794.51265
170	55780.1303
171	55766.2792
172	55736.27138
173	55719.13106
174	55710.95335
175	55700.07833
176	55686.3401
177	55680.61061
178	55671.48372
179	55656.53497
180	55648.32944
181	55629.62927
182	55617.90909
183	55599.64672
184	55576.03089
185	55569.58222
186	55562.4748
187	55545.71765
188	55529.07758
189	55507.00636
190	55488.05484
191	55470.92354
192	55460.29124
193	55450.30981
194	55428.50562
195	55411.5649
196	55388.194
197	55379.4055
198	55365.59273
199	55350.95069
200	55343.65504
201	55324.28992
202	55309.6967
203	55307.1271
204	55277.67801
205	55272.30762
206	55255.52681
207	55247.24869
208	55227.17308
209	55211.46131
210	55193.85869
211	55183.17723
212	55165.42264
213	55148.67706
214	55125.48895
215	55119.56353
216	55094.59382
217	55082.95215
218	55070.55771
219	55061.51682
220	55056.45794
221	55034.87329
222	55019.66265
223	55012.81784
224	55001.06629
225	54983.52751
226	54970.3789
227	54948.82893
228	54923.00323
229	54915.02716
230	54913.77964
231	54911.13241
232	54907.92156
233	54895.04586
234	54880.66272
235	54879.92278
236	54861.95435
237	54840.91355
238	54824.41454
239	54824.40947
240	54807.76788
241	54788.3577
242	54770.00641
243	54759.30048
244	54745.08138
245	54734.69247
246	54724.14984
247	54714.11264
248	54694.68463
249	54685.67142
250	54685.02082
251	54677.3543
252	54676.69323
253	54670.01136
254	54650.77493
255	54633.13911
256	54625.80017
257	54615.95942
258	54601.59399
259	54594.73994
260	54580.18926
261	54564.1241
262	54557.36388
263	54547.76613
264	54532.05353
265	54521.63961
266	54511.02828
267	54501.25148
268	54490.22763
269	54482.33716
270	54474.38152
271	54463.37422
272	54455.98478
273	54445.28405
274	54443.2661
275	54427.07083
276	54418.66548
277	54402.98036
278	54394.912
279	54391.58364
280	54379.70719
281	54378.85892
282	54374.19764
283	54371.93216
284	54359.94841
285	54351.2479
286	54335.88201
287	54325.08238
288	54325.01432
289	54319.93706
290	54304.25074
291	54301.88572
292	54291.07123
293	54284.0638
294	54261.12334
295	54246.76491
296	54232.60932
297	54227.48307
298	54209.88178
299	54193.68743
