id,wk,N wk,idFilial,KanalDB,idSubGrp,value
0,201729,184,9,2,3,93543.02945529191
1,201730,185,9,2,3,93543.02945529191
2,201731,186,9,2,3,93543.02945529191
3,201732,187,9,2,3,93543.02945529191
4,201733,188,9,2,3,93543.02945529191
5,201734,189,9,2,3,93543.02945529191
6,201735,190,9,2,3,93543.02945529191
7,201736,191,9,2,3,93543.02945529191
8,201737,192,9,2,3,93543.02945529191
9,201738,193,9,2,3,93543.02945529191
10,201739,194,9,2,3,93543.02945529191
11,201729,184,9,2,4,183578.49122418123
12,201730,185,9,2,4,183578.49122418123
13,201731,186,9,2,4,183578.49122418123
14,201732,187,9,2,4,183578.49122418123
15,201733,188,9,2,4,183578.49122418123
16,201734,189,9,2,4,183578.49122418123
17,201735,190,9,2,4,183578.49122418123
18,201736,191,9,2,4,183578.49122418123
19,201737,192,9,2,4,183578.49122418123
20,201738,193,9,2,4,183578.49122418123
21,201739,194,9,2,4,183578.49122418123
22,201729,184,9,2,5,213294.15621229247
23,201730,185,9,2,5,213294.15621229247
24,201731,186,9,2,5,213294.15621229247
25,201732,187,9,2,5,213294.15621229247
26,201733,188,9,2,5,213294.15621229247
27,201734,189,9,2,5,213294.15621229247
28,201735,190,9,2,5,213294.15621229247
29,201736,191,9,2,5,213294.15621229247
30,201737,192,9,2,5,213294.15621229247
31,201738,193,9,2,5,213294.15621229247
32,201739,194,9,2,5,213294.15621229247
33,201729,184,9,2,6,81764.61289232095
34,201730,185,9,2,6,81764.61289232095
35,201731,186,9,2,6,81764.61289232095
36,201732,187,9,2,6,81764.61289232095
37,201733,188,9,2,6,81764.61289232095
38,201734,189,9,2,6,81764.61289232095
39,201735,190,9,2,6,81764.61289232095
40,201736,191,9,2,6,81764.61289232095
41,201737,192,9,2,6,81764.61289232095
42,201738,193,9,2,6,81764.61289232095
43,201739,194,9,2,6,81764.61289232095
44,201729,184,9,2,2,56881.08463444948
45,201730,185,9,2,2,56881.08463444948
46,201731,186,9,2,2,56881.08463444948
47,201732,187,9,2,2,56881.08463444948
48,201733,188,9,2,2,56881.08463444948
49,201734,189,9,2,2,56881.08463444948
50,201735,190,9,2,2,56881.08463444948
51,201736,191,9,2,2,56881.08463444948
52,201737,192,9,2,2,56881.08463444948
53,201738,193,9,2,2,56881.08463444948
54,201739,194,9,2,2,56881.08463444948
55,201729,184,9,2,1,13967.493825215439
56,201730,185,9,2,1,13967.493825215439
57,201731,186,9,2,1,13967.493825215439
58,201732,187,9,2,1,13967.493825215439
59,201733,188,9,2,1,13967.493825215439
60,201734,189,9,2,1,13967.493825215439
61,201735,190,9,2,1,13967.493825215439
62,201736,191,9,2,1,13967.493825215439
63,201737,192,9,2,1,13967.493825215439
64,201738,193,9,2,1,13967.493825215439
65,201739,194,9,2,1,13967.493825215439
66,201729,184,9,1,3,39642.491840470524
67,201730,185,9,1,3,39642.491840470524
68,201731,186,9,1,3,39642.491840470524
69,201732,187,9,1,3,39642.491840470524
70,201733,188,9,1,3,39642.491840470524
71,201734,189,9,1,3,39642.491840470524
72,201735,190,9,1,3,39642.491840470524
73,201736,191,9,1,3,39642.491840470524
