id,wk,N wk,idFilial,KanalDB,idSubGrp,value
0,201729,184,9,2,3,112785.97386308649
1,201730,185,9,2,3,112785.97386308649
2,201731,186,9,2,3,112785.97386308649
3,201732,187,9,2,3,112785.97386308649
4,201733,188,9,2,3,112785.97386308649
5,201734,189,9,2,3,112785.97386308649
6,201735,190,9,2,3,112785.97386308649
7,201736,191,9,2,3,112785.97386308649
8,201737,192,9,2,3,112785.97386308649
9,201738,193,9,2,3,112785.97386308649
10,201739,194,9,2,3,112785.97386308649
11,201729,184,9,2,4,238291.46044332153
12,201730,185,9,2,4,238291.46044332153
13,201731,186,9,2,4,238291.46044332153
14,201732,187,9,2,4,238291.46044332153
15,201733,188,9,2,4,238291.46044332153
16,201734,189,9,2,4,238291.46044332153
17,201735,190,9,2,4,238291.46044332153
18,201736,191,9,2,4,238291.46044332153
19,201737,192,9,2,4,238291.46044332153
20,201738,193,9,2,4,238291.46044332153
21,201739,194,9,2,4,238291.46044332153
22,201729,184,9,2,5,254215.4255620246
23,201730,185,9,2,5,254215.4255620246
24,201731,186,9,2,5,254215.4255620246
25,201732,187,9,2,5,254215.4255620246
26,201733,188,9,2,5,254215.4255620246
27,201734,189,9,2,5,254215.4255620246
28,201735,190,9,2,5,254215.4255620246
29,201736,191,9,2,5,254215.4255620246
30,201737,192,9,2,5,254215.4255620246
31,201738,193,9,2,5,254215.4255620246
32,201739,194,9,2,5,254215.4255620246
33,201729,184,9,2,6,119041.11061091861
34,201730,185,9,2,6,119041.11061091861
35,201731,186,9,2,6,119041.11061091861
36,201732,187,9,2,6,119041.11061091861
37,201733,188,9,2,6,119041.11061091861
38,201734,189,9,2,6,119041.11061091861
39,201735,190,9,2,6,119041.11061091861
40,201736,191,9,2,6,119041.11061091861
41,201737,192,9,2,6,119041.11061091861
42,201738,193,9,2,6,119041.11061091861
43,201739,194,9,2,6,119041.11061091861
44,201729,184,9,2,2,90798.96254880672
45,201730,185,9,2,2,90798.96254880672
46,201731,186,9,2,2,90798.96254880672
47,201732,187,9,2,2,90798.96254880672
48,201733,188,9,2,2,90798.96254880672
49,201734,189,9,2,2,90798.96254880672
50,201735,190,9,2,2,90798.96254880672
51,201736,191,9,2,2,90798.96254880672
52,201737,192,9,2,2,90798.96254880672
53,201738,193,9,2,2,90798.96254880672
54,201739,194,9,2,2,90798.96254880672
55,201729,184,9,2,1,12348.728635900809
56,201730,185,9,2,1,12348.728635900809
57,201731,186,9,2,1,12348.728635900809
58,201732,187,9,2,1,12348.728635900809
59,201733,188,9,2,1,12348.728635900809
60,201734,189,9,2,1,12348.728635900809
61,201735,190,9,2,1,12348.728635900809
