id,wk,N wk,idFilial,KanalDB,idSubGrp,value
0,201729,184,9,2,3,116997.43245989822
1,201730,185,9,2,3,116997.43245989822
2,201731,186,9,2,3,116997.43245989822
3,201732,187,9,2,3,116997.43245989822
4,201733,188,9,2,3,116997.43245989822
5,201734,189,9,2,3,116997.43245989822
6,201735,190,9,2,3,116997.43245989822
7,201736,191,9,2,3,116997.43245989822
8,201737,192,9,2,3,116997.43245989822
9,201738,193,9,2,3,116997.43245989822
10,201739,194,9,2,3,116997.43245989822
11,201729,184,9,2,4,248447.83983650565
12,201730,185,9,2,4,248447.83983650565
13,201731,186,9,2,4,248447.83983650565
14,201732,187,9,2,4,248447.83983650565
15,201733,188,9,2,4,248447.83983650565
16,201734,189,9,2,4,248447.83983650565
17,201735,190,9,2,4,248447.83983650565
18,201736,191,9,2,4,248447.83983650565
19,201737,192,9,2,4,248447.83983650565
20,201738,193,9,2,4,248447.83983650565
21,201739,194,9,2,4,248447.83983650565
22,201729,184,9,2,5,263503.06559069955
23,201730,185,9,2,5,263503.06559069955
24,201731,186,9,2,5,263503.06559069955
25,201732,187,9,2,5,263503.06559069955
26,201733,188,9,2,5,263503.06559069955
27,201734,189,9,2,5,263503.06559069955
28,201735,190,9,2,5,263503.06559069955
29,201736,191,9,2,5,263503.06559069955
30,201737,192,9,2,5,263503.06559069955
31,201738,193,9,2,5,263503.06559069955
32,201739,194,9,2,5,263503.06559069955
33,201729,184,9,2,6,123489.31909050942
34,201730,185,9,2,6,123489.31909050942
35,201731,186,9,2,6,123489.31909050942
36,201732,187,9,2,6,123489.31909050942
37,201733,188,9,2,6,123489.31909050942
38,201734,189,9,2,6,123489.31909050942
39,201735,190,9,2,6,123489.31909050942
40,201736,191,9,2,6,123489.31909050942
41,201737,192,9,2,6,123489.31909050942
42,201738,193,9,2,6,123489.31909050942
43,201739,194,9,2,6,123489.31909050942
44,201729,184,9,2,2,97447.96749099024
45,201730,185,9,2,2,97447.96749099024
46,201731,186,9,2,2,97447.96749099024
47,201732,187,9,2,2,97447.96749099024
48,201733,188,9,2,2,97447.96749099024
49,201734,189,9,2,2,97447.96749099024
50,201735,190,9,2,2,97447.96749099024
